2543.TW 皇昌 現價:10.25
2545.TW 皇翔 現價:39.30
2546.TW 根基 現價:72.5
2547.TW 日勝生 現價:8.72
2548.TW 華固 現價:89.4
2596.TWO 綠意 現價:21.80
2597.TW 潤弘 現價:102.5
2601.TW 益航 現價:8.77
2603.TW 長榮 現價:107.0
2605.TW 新興 現價:20.95
2606.TW 裕民 現價:49.05
2607.TW 榮運 現價:28.60
2608.TW 嘉里大榮 現價:36.55
2609.TW 陽明 現價:43.90
2610.TW 華航 現價:23.65
2611.TW 志信 現價:13.65
2612.TW 中航 現價:42.65
2613.TW 中櫃 現價:21.45
2614.TW 東森 現價:-
2615.TW 萬海 現價:50.5
2616.TW 山隆 現價:30.75
2617.TW 台航 現價:30.50
2618.TW 長榮航 現價:33.20
2630.TW 亞航 現價:31.60
2633.TW 台灣高鐵 現價:29.35
2634.TW 漢翔 現價:54.7
2636.TW 台驊投控 現價:76.8
2637.TW 慧洋-KY 現價:47.50
2640.TWO 大車隊 現價:109.0
2641.TWO 正德 現價:16.85
2642.TW 宅配通 現價:41.10
2643.TWO 捷迅 現價:67.5
2645.TW 長榮航太 現價:114.5
2701.TW 萬企 現價:12.60
2702.TW 華園 現價:21.55
2704.TW 國賓 現價:53.5
2705.TW 六福 現價:17.20
2706.TW 第一店 現價:15.15
2707.TW 晶華 現價:225.0
2712.TW 遠雄來 現價:34.55
2718.TWO 晶悅 現價:46.80
2719.TWO 燦星旅 現價:62.2
2722.TW 夏都 現價:55.5
2723.TW 美食-KY 現價:111.0
2724.TWO 富驛-KY 現價:-
2726.TWO 雅茗-KY 現價:22.60
2727.TW 王品 現價:284.5
2729.TWO 瓦城 現價:292.0
2731.TW 雄獅 現價:133.5
2732.TWO 六角 現價:124.5
2734.TWO 易飛網 現價:43.30
2736.TWO 富野 現價:33.35
2739.TW 寒舍 現價:41.90
2740.TWO 天蔥 現價:-
2743.TWO 山富 現價:112.0
2745.TWO 五福 現價:79.9
2748.TW 雲品 現價:72.1
2752.TWO 豆府 現價:256.0
2753.TW 八方雲集 現價:168.0
2754.TWO 亞洲藏壽司 現價:147.5
2755.TWO 揚秦 現價:109.0
2756.TWO 聯發國際 現價:124.0
2801.TW 彰銀 現價:17.15
2809.TW 京城銀 現價:36.35
2812.TW 台中銀 現價:14.55
2816.TW 旺旺保 現價:20.80
2820.TW 華票 現價:14.50
2832.TW 台產 現價:22.85
2834.TW 臺企銀 現價:13.65
2836.TW 高雄銀 現價:12.15
2836A.TW 高雄銀甲特 現價:20.90
2838.TW 聯邦銀 現價:14.70
2838A.TW 聯邦銀甲特 現價:51.4
2845.TW 遠東銀 現價:11.40
2849.TW 安泰銀 現價:13.85
2850.TW 新產 現價:57.0
